url_path,views_total,views_unique
/peff74/PIR_YX-358A,30,14
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,27,9
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1(low).jpg,17,2
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,16,5
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,16,3
/peff74/PIR_YX-358A/blob/main/README.md,14,7
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB_2.jpg,14,3
/peff74/PIR_YX-358A/blob/main/PIR_33V_PCB_1.jpg,14,3
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,12,3
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,11,4
