time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,2,2,13,2
2026-06-05 00:00:00+00:00,19,8,1,1
2026-06-06 00:00:00+00:00,18,7,2,1
2026-06-07 00:00:00+00:00,20,9,0,0
2026-06-08 00:00:00+00:00,12,5,0,0
2026-06-09 00:00:00+00:00,17,5,1,1
2026-06-10 00:00:00+00:00,2,2,0,0
2026-06-11 00:00:00+00:00,19,8,0,0
2026-06-12 00:00:00+00:00,13,6,30,2
2026-06-13 00:00:00+00:00,17,6,0,0
2026-06-14 00:00:00+00:00,30,8,0,0
2026-06-15 00:00:00+00:00,28,8,1,1
2026-06-16 00:00:00+00:00,11,4,5,2
2026-06-17 00:00:00+00:00,19,6,0,0
